id;name;about;supplier_id;booked_activity_id;
1;TeamBuilding.com;This company offers customizable cooking classes led by professional chefs, where teams work together to prepare and enjoy delicious meals while strengthening collaboration and communication skills.;1;1
2;Team Building with Taste;Team Building with Taste specializes in blending team building with gourmet cooking experiences. Their events combine hands-on culinary challenges with opportunities for team collaboration and creativity. Participants work together to prepare gourmet meals under the guidance of skilled chefs. With customizable menus and themes, Team Building with Taste offers tailored experiences to suit the objectives of any corporate gathering.;1;1
3;Corporate Cooking Events;Corporate Cooking Events offers a range of team-building activities for businesses. Whether it's a cooking class focused on a specific cuisine or a competitive cook-off, their professional chefs ensure that participants not only learn new culinary skills but also strengthen bonds within their teams. With options for both in-person and virtual events, Corporate Cooking Events caters to diverse corporate needs;1;1
4;SongDivision;SongDivision specializes in interactive team-building experiences through live music events, including songwriting workshops and virtual performances tailored for corporate groups.;1;2
5;JamHub;JamHub offers interactive team-building activities where participants form bands and create music together. Their corporate events include workshops led by professional musicians, fostering collaboration and creativity.;1;2
6;Rock and Roll Team Building;Specializing in energizing corporate events, Rock and Roll Team Building combines music with team-building exercises. Participants learn to play instruments, write songs, and perform together, promoting teamwork and morale.;1;2
7;Adventure Works;A premier outdoor adventure company specializing in corporate team-building activities. From thrilling wilderness excursions to customized challenges, they offer tailored experiences to foster team cohesion and leadership development.;1;3
8;Wilderness Ventures;Known for their immersive outdoor adventures, Wilderness Ventures crafts unforgettable corporate events in nature. Whether it's rock climbing, rafting, or survival skills training, they create dynamic experiences that inspire collaboration and resilience.;1;3
9;Summit Expeditions;With a focus on experiential learning, Summit Expeditions designs corporate events that blend adventure with personal growth. From high-altitude treks to team-building exercises in scenic landscapes, they provide transformative experiences that strengthen teamwork and communication skills.;1;3
10;Vineyard Ventures;Vineyard Ventures specializes in organizing bespoke corporate wine tasting events at some of the finest vineyards worldwide. From team-building exercises amidst picturesque vineyards to educational seminars led by sommeliers, they curate unforgettable experiences tailored to corporate needs.;1;4
11;GrapeVine Gatherings;Grapevine Gatherings crafts immersive wine tasting experiences for corporate groups, blending the elegance of wine with team-building activities. Their expert-led tastings, interactive workshops, and gourmet pairings ensure an engaging and memorable event for teams of all sizes.;1;4
12;Cellar Connections;Cellar Connections offers premium wine tasting events for corporate clients, focusing on creating a sophisticated ambiance for networking and team bonding. With access to exclusive wine cellars and renowned sommeliers, they deliver tailored experiences that elevate corporate gatherings to new heights of sophistication and enjoyment.;1;4
13;Acting Up;A premier corporate entertainment company specializing in interactive improv shows tailored for team building and corporate events. Their seasoned actors engage participants in hilarious scenarios, fostering collaboration and creativity while leaving a lasting impression.;1;5
14;Spotlight Events;With a roster of professional actors and directors, Spotlight Events crafts bespoke theatrical experiences for corporate gatherings. From murder mysteries to customized skits, they deliver immersive entertainment that captivates audiences and strengthens team dynamics.;1;5
